,time,weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,capital_cities
0,2021-11-12,3,18.1,7.9,16.4,5.5,2021-11-12T06:24,2021-11-12T16:25,0.0,0,6.4,3.1,125,8.73,Tirana
1,2021-11-13,3,18.4,7.6,17.9,4.9,2021-11-13T06:25,2021-11-13T16:24,0.0,0,7.6,4.8,128,9.63,Tirana
2,2021-11-14,3,18.2,9.4,17.8,7.6,2021-11-14T06:26,2021-11-14T16:23,0.0,0,5.4,2.4,125,5.43,Tirana
3,2021-11-15,3,20.1,9.2,18.9,7.5,2021-11-15T06:27,2021-11-15T16:22,0.0,0,5.4,4.3,140,8.54,Tirana
4,2021-11-16,3,20.8,10.7,19.4,8.9,2021-11-16T06:29,2021-11-16T16:22,0.0,0,8.9,4.5,123,9.51,Tirana
5,2021-11-17,3,16.4,9.1,15.2,7.2,2021-11-17T06:30,2021-11-17T16:21,0.01,1,6.2,3.3,121,5.14,Tirana
6,2021-11-18,3,18.5,9.1,17.8,7.5,2021-11-18T06:31,2021-11-18T16:20,0.0,0,4.8,3.3,129,5.8,Tirana
7,2021-11-19,2,18.8,8.8,17.1,7.2,2021-11-19T06:32,2021-11-19T16:19,0.0,0,9.5,6.4,35,9.49,Tirana
8,2021-11-20,3,19.6,8.6,17.5,6.2,2021-11-20T06:33,2021-11-20T16:19,0.0,0,7.5,6.9,62,8.89,Tirana
9,2021-11-12,3,9.0,4.1,5.4,0.5,2021-11-12T07:40,2021-11-12T17:36,0.18,9,11.9,20.3,11,6.24,Andorra la Vella
10,2021-11-13,3,10.0,3.5,7.8,-0.1,2021-11-13T07:41,2021-11-13T17:35,0.0,0,8.6,11.1,16,8.36,Andorra la Vella
11,2021-11-14,2,7.2,1.0,2.9,-2.7,2021-11-14T07:42,2021-11-14T17:34,0.04,4,14.5,20.6,27,8.45,Andorra la Vella
12,2021-11-15,71,4.8,0.1,0.5,-3.8,2021-11-15T07:43,2021-11-15T17:33,1.02,17,13.8,22.0,26,7.17,Andorra la Vella
13,2021-11-16,3,8.2,1.1,5.4,-2.9,2021-11-16T07:45,2021-11-16T17:32,0.0,0,9.6,11.7,12,7.55,Andorra la Vella
14,2021-11-17,1,7.9,2.2,2.9,-2.4,2021-11-17T07:46,2021-11-17T17:31,0.0,0,14.4,19.0,22,11.15,Andorra la Vella
15,2021-11-18,3,9.4,2.5,4.9,-2.4,2021-11-18T07:47,2021-11-18T17:30,0.0,0,11.8,23.3,12,10.23,Andorra la Vella
16,2021-11-19,0,12.3,3.4,9.6,-1.3,2021-11-19T07:48,2021-11-19T17:30,0.0,0,9.8,16.9,359,10.52,Andorra la Vella
17,2021-11-20,0,11.5,4.4,8.3,1.1,2021-11-20T07:49,2021-11-20T17:29,0.0,0,7.7,7.7,53,10.3,Andorra la Vella
18,2021-11-12,2,8.9,1.4,5.7,-2.2,2021-11-12T04:42,2021-11-12T14:49,0.0,0,8.5,6.6,49,11.39,Yerevan
19,2021-11-13,0,9.7,2.0,7.2,-1.2,2021-11-13T04:44,2021-11-13T14:48,0.0,0,7.4,4.7,26,11.52,Yerevan
20,2021-11-14,3,10.8,1.6,8.4,-1.9,2021-11-14T04:45,2021-11-14T14:47,0.0,0,8.0,4.2,24,11.4,Yerevan
21,2021-11-15,3,10.3,2.2,7.9,-0.9,2021-11-15T04:46,2021-11-15T14:46,0.0,0,7.5,5.0,20,9.5,Yerevan
